restaurant_name,sandwich_name,category,is_featured,image_url,nyt_link,address,website,price,description
Your nearest bodega,"Bacon, egg and cheese",Breakfast Bangers,1,,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/your-nearest-bodega.html,,,,"In New York City, there is no single bacon, egg and cheese to rule them all. Whichever B.E.C. you’re eating in that moment is the best one. You dig into one as a means to start your day or to battle a hangover or to simply fulfill a craving for the most satisfying combination of ingredients known to man. To love the B.E.C. is to exist on a continuum of past, present and future bacon, egg and cheeses — all of them just around the corner or down the block from wherever you are right now. NIKITA RICHARDSON"
C&B,Chorizo egg sandwich,Breakfast Bangers,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/breakfast2-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/cb.html,178 East Seventh Street (Avenue B),https://www.instagram.com/candbnyc,13,"Many people wouldn’t guess that C & B, by the looks of it, serves some of the finest sandwiches in the city. Ali Sahin’s tiny cafe has been located for nearly a decade on the south side of Tompkins Square Park in the East Village, serving breakfast sandwiches that exemplify why New Yorkers love breakfast sandwiches: they’re simple as can be, but every component is on point. Lining up for a weekend breakfast sandwich there feels a little like being at a model casting — one wonders if the name is a play on “see and be seen” — but ordering well is a great equalizer: a fat, rich chorizo patty straight off the griddle and wobbly scrambled eggs, all piled high on an housemade roll to soak up the sausage’s spiced fat. BECKY HUGHES"
Radio Bakery,Smoked salmon sandwich,Breakfast Bangers,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/onlyny7-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/radio-bakery.html,135 India Street (Manhattan Avenue),https://www.radiobakery.nyc/,15,"New York is no stranger to smoked salmon — we’re practically aswim in lox — but it usually arrives in sandwich form on a bagel. Not so at the popular Radio Bakery in Greenpoint, where the pastry chef Kelly Mencin serves smoked salmon with a schmear of whipped cream cheese seasoned with pickled red onions and dill, all sandwiched between airy, crispy, everything-seasoned focaccia The bread recipe was perfected by Rafiq Salim, a partner here and a Gramercy Tavern vet, but the idea to serve it in this inventive, satisfying form is all Ms. Mencin’s. On weekends, the sandwich tends to sell out well before 11 a.m., but hopefully that won’t be an issue when a second Radio Bakery opens in Prospect Heights later this year. NIKITA RICHARDSON"
Edith’s,BEC&L,Breakfast Bangers,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/breakfast3-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/ediths.html,495 Lorimer Street (Powers Street),https://edithsbk.com/,14,"Elyssa Heller is a pandemic pop-up success story. She started selling hand-rolled bagels and dishes inspired by the Jewish diaspora out of Paulie Gee’s pizzeria in 2020 before opening Edith’s Sandwich Counter in Williamsburg, where the menu is tight but clever: egg sandwiches on bagels, breakfast wraps on Yemeni flatbread and deli classics like tuna melts and pastrami on rye. Their most popular sandwich is the bacon, egg and cheese on a bagel, the platonic ideal of hangover food, with an added latke layer. It may not be kosher, but it’s texturally thrilling — the bagel chewy, eggs impossibly fluffy, the latke doing that crunchy-outside, creamy-inside thing that will cure what ails you. BECKY HUGHES"
Daily Provisions,The Lumberjack,Breakfast Bangers,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/breakfast5-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/daily-provisions.html,Multiple locations,https://www.dailyprovisionsnyc.com/,12,"So many portmanteau foods can go horribly wrong: the cookie croissant, the everything doughnut, the Nutella calzone. But at Daily Provisions, the mash-up of its celebrated bacon, egg and cheese sandwich and its cult-favorite maple cruller tastes very, very right. The housemade peppery bacon and runny egg work with the maple glaze, as if you’ve swiped the egg and bacon from your lumberjack breakfast through the syrup on the pancake side of the plate. JULIA MOSKIN"
Shelsky’s Brooklyn Bagels,The Newhouse,Breakfast Bangers,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/deli6-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/shelskys-brooklyn-bagels.html,453 Fourth Avenue (10th Street),https://www.shelskys.com/,18,"Bialys and sable can seem like afterthoughts on a bagel-store menu, the oft-overlooked urchins only a Jewish mother could love, and so often overshadowed by their powerhouse cousins, bagels and lox. But at Shelsky’s, these two stalwarts shine magnificently in the Newhouse sandwich. Made from toasted, housemade bialys and translucent slivers of wild Alaskan smoked sable, the sandwich is rounded out with scallion cream cheese for plushness, and sliced tomato for a touch of juicy sweetness. It’s an if-you-know-you-know combination that aficionados of appetizing might build for themselves from a bat mitzvah brunch platter, but it’s rarely seen preconstructed in the wild. For smoked fish lovers, this is a real opportunity to kvell. MELISSA CLARK"
Little Egg,Egg katsu sando,Breakfast Bangers,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/breakfast1-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/little-egg.html,657 Washington Avenue (St. Marks Avenue),http://www.eggrestaurant.com/,17,"We’re living in a golden age of katsu sandos in New York. Still, it’s worth a special visit to Little Egg for its take, which shines thanks to, well, the egg. The sandwich is inspired by a fried tamago that the chef Evan Hanczor first encountered in Tokyo — where he owns another restaurant. The eggs are cooked in a water bath at a low temperature, giving them their custardy texture, then sliced into planks and fried in a mixture of flour and panko. The end result is impossibly fluffy and tender yet crispy, and tastes even more luxurious in a brioche bun, embellished with a punchy yuzu kosho, pickled shallot mayo and arugula. PRIYA KRISHNA"
Kennedy International Airport Terminal 4,Shake Shack breakfast sandwich,Breakfast Bangers,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/breakfast4-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/kennedy-international-airport-terminal-4.html,"Kennedy International Airport, Terminal 4",https://shakeshack.com/location/jfk-airport-nyc#/,5,"Few people head to the airport for an early-morning flight expecting a breakfast any better than a stale bagel or a granola bar. But the passengers flying out of Terminal 4 at Kennedy have grown accustomed to something much better. Here, the ubiquitous burger chain Shake Shack serves its far less ubiquitous breakfast menu, including a simple yet elegantly constructed egg and cheese sandwich: silken eggs with crisp edges, a slice of American cheese and a squishy burger bun. For several months in 2013, this was the only Shake Shack in the world that offered a breakfast sandwich. Now the morning offerings have expanded to other locations, including Grand Central Terminal, and the menu has more zhuzhed-up egg sandwiches including a version with bacon and tater tots, but the sheen of Terminal 4’s pioneer status remains. PRIYA KRISHNA"
Faicco’s Italian Specialties,The Italian,Hero Worship,1,,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/faiccos-italian-specialties.html,,,,"In 1998, Eddie Faicco, the fourth-generation owner of the nearly century-old Faicco’s Pork Store in the West Village, took over from his uncle and noticed that customers were far more interested in prepared food than the meats and cured sausages they had sold for decades. He later renamed the store Faicco’s Italian Specialties, and decided to introduce the mammoth sandwiches the shop is now known for. The shop’s most popular offering, the Italian hero, starts with crusty Italian bread from Mona Lisa Bakery in Dyker Heights, and is stuffed to the brim with freshly sliced prosciutto from Italy, Italian cappy-style ham from Boar’s Head, sweet soppressata, and mozzarella cheese that’s made at the shop. Iceberg lettuce, as thin as shredded paper, is piled on, along with tomatoes, roasted red peppers, salt, pepper, olive oil and a splash of red-wine vinegar. CHRISTINA MORALES"
Mama’s Too!,Chicken Parm hero,Hero Worship,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/italian3-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/mamas-too.html,Multiple locations,http://mamastoo.com/,20,"Frank Tuttolomondo grew up in the Upper West Side slice shop his grandmother opened in 1959, but it was only after he went out on his own, mastered the New York slice and created a legendary pepperoni square, that he turned to hot heroes. His chicken Parms are giant torpedoes, overstuffed and quick-blasted in the pizza oven. The housemade sesame rolls have the signature savory, extra-browned crust of Mama’s Too pizza; even more impressive, so does the chicken cutlet. The basic chicken Parm with marinara sauce and mozzarella is top-notch; his new variation, with creamy stracciatella, vodka sauce and a bright dribble of pesto, is quickly approaching modern classic status. JULIA MOSKIN"
Casa Della Mozzarella,The Casa,Hero Worship,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/italian6-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/casa-della-mozzarella.html,604 East 187th Street (Arthur Avenue),https://www.instagram.com/casadellamozzarella/,9,"At just 31 years old, Casa Della Mozzarella is downright youthful compared with some of its weathered neighbors along Arthur Avenue in the Bronx. But in a world of monster hero purveyors (see: other entries in this category), this Italian deli opts for simplicity. The house sandwich, also called the Casa, is little more than ciabatta or a hero filled with sun-dried tomatoes, prosciutto, balsamic vinegar glaze and mozzarella di bufala. Emphasis on the mozzarella — taut, shiny, white blobs of salty goodness made fresh daily in the house that mozzarella built. NIKITA RICHARDSON"
Defonte’s Sandwich Shop,"Egg, potato and cheese hero",Hero Worship,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/classics1-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/defontes-sandwich-shop.html,379 Columbia Street (Luquer Street),https://www.instagram.com/defontes1922/?hl=en,9,"Before pistachio cream, wild arugula and hot honey came along, Italian American sandwich shops made their reputations with humbler materials. Fillings don’t get much more basic than roasted potato cubes, scrambled eggs and mozzarella stuffed into a hero roll, yet few sandwiches are as fortifying, economical or versatile as this $8.95 staple (or its sibling, the hero Defonte’s makes with eggs, peppers and mozzarella). Both are as welcome today as they must have been back when the Red Hook docks were in full swing; they’re sandwiches made for hungry stevedores. PETE WELLS"
